serviceName,sousTitre,description,logoUrl,redirectionUrl,redirectionLabel,iframeUrl,extendLabel,status,leviers,competences,extraFields
UrbanVitaliz,Recommandations d’actions pour faciliter la réhabilitation des friches urbaines,"UrbanVitaliz donne des recommandations d’actions à la collectivité, en fonction du projet qu’elle lui a soumis et des caractéristiques de la friches. Elle oriente ainsi vers les acteurs, dispositifs, financements, prestations, outils et stratégies disponibles, susceptibles de débloquer le porteur de projet. ",https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/,Découvrez UrbanVitaliz,,,"Étude, Idée",Sobriété foncière,Autres actions d'aménagement urbain,
UrbanVitaliz,Des ressources autour de la réhabilitation des friches urbaines,Retrouvez des articles thématiques sur le sujet des friches urbaines.,https://urbanvitaliz.fr/static/img/favicons/apple-touch-icon.png,https://urbanvitaliz.fr/ressource/,,,,"Étude, Idée",Sobriété foncière,Autres actions d'aménagement urbain,
Le portail cartographique des énergies renouvelables,Un outil d'aide à la planification énergétique française,"Outil d'aide à la décision, mettant à disposition des données objectives et compilables sur les thématiques énergétiques en France, le portail a pour objectif principal d’appuyer les communes dans l’identification de zones potentiellement propices à l’implantation d’énergies renouvelables sur leur territoire.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://planification.climat-energie.gouv.fr/,,,,"Étude, Idée",Electricité renouvelable,"Energie éolienne, Energie hydraulique, Energie photovoltaïque",
Le portail cartographique des énergies renouvelables,Accéder aux ressources sans vous connecter,Retrouvez les données sur les zones potentiellement propice à l’implantation d’énergies renouvelables sur votre territoire.,https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://macarte.ign.fr/carte/1X3jxe/Carte-EnR-Grand-public,,,,"Étude, Idée",Electricité renouvelable,"Energie éolienne, Energie hydraulique, Energie photovoltaïque",
MiNumEco,Réduire l’empreinte environnementale du numérique public,"La MiNumEco, la Mission Interministérielle Numérique Écoresponsable, accompagne les administrations dans la réduction de l'empreinte environnementale du numérique public.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://ecoresponsable.numerique.gouv.fr/publications/strategie-numerique-responsable-des-collectivites/,,,,,NULL,Environnement / Actions transversales,
MiNumEco,"Le RGESN, ou référentiel général d’écoconception de services numériques, est un document de référence mené dans le cadre de la Mission interministérielle Green Tech. Son objectif est de réduire la consommation globale des ressources informatiques et énergétiques mais aussi des équipements (utilisateurs, réseau ou serveur).","Ce référentiel est mené dans le cadre de la mission interministérielle « Green Tech » et co-pilotée par la Direction interministérielle du numérique (DINUM), le Ministère de la Transition Écologique, mais également l’ADEME et l’Institut du Numérique Responsable. Les objectifs sont de réduire la consommation de ressources informatiques et énergétiques et la contribution à l’obsolescence des équipements, qu’il s’agisse des équipements utilisateurs ou des équipements réseau ou serveur.",https://upload.wikimedia.org/wikipedia/fr/3/38/Logo_de_la_R%C3%A9publique_fran%C3%A7aise_%281999%29.svg,https://ecoresponsable.numerique.gouv.fr/publications/referentiel-general-ecoconception/,,,,,NULL,Environnement / Actions transversales,
Bénéfriches,,,,,,,,"Étude, Idée, Opération",Sobriété foncière,Autres actions d'aménagement urbain,
Boussole du CGDD,,,,,,,,"Étude, Idée",NULL,NULL,
France Chaleur Urbaine,,,,,,,,"Étude, Idée",Réseaux de chaleur décarbonés,Réseaux de chaleur et de froid,
Docurba,,,,,,,,"Étude, Idée, Opération",NULL,"Autres actions d'aménagement urbain, Opérations d'aménagement, Aménagement des territoires et habitat / services urbains, Aménagement des territoires et habitat . Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions",
EnvErgo,,,,,,,,"Étude, Idée, Opération",NULL,"Autres actions d'aménagement urbain, Opérations d'aménagement, Aménagement des territoires et habitat / services urbains, Aménagement des territoires et habitat . Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions",
Zéro Logement vacant,,,,,,,,"Étude, Idée, Opération",NULL,"Habitat (Logement), Logement social",
Mon diagnostic artificialisation,,,,,,,,,Sobriété foncière,NULL,
Trackdéchets,,,,,,,,,"Prévention déchets, Valorisation matière des déchets, Collecte et tri des déchets","Actions déchets et propreté urbaine, Collecte et traitement des déchets",
PrioRéno,,,,,,,,,"Sobriété des bâtiments (tertiaire), Changement chaudières fioul + rénovation (tertiaire), Changement chaudières gaz + rénovation (tertiaire)",NULL,
CopCerema,,,,,,,,,"Réduction des déplacements, Véhicules électriques, Fret décarboné et multimodalité","Transport sur route, Transports de marchandises, Transports / Infrastructures",
UrbanSimul,,,,,,,,NULL,Sobriété foncière,"Autres actions d'aménagement urbain, Opérations d'aménagement, Aménagement des territoires et habitat / services urbains, Aménagement des territoires et habitat . Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions",
Facili-TACCT,,,,,,,,NULL,NULL,NULL,
Facili-TACCT-Test-Iframe,,,,,,,,NULL,NULL,NULL,
Observatoire du covoiturage,,,,,,,,NULL,Covoiturage,Transports / Liaisons multimodales,
Impact CO2,,,,,,,,NULL,NULL,Environnement / Actions transversales,
J'Agis,,,,,,,,NULL,NULL,Environnement / Actions transversales,
AgiRisk,,,,,,,,NULL,NULL,Lutte contre les inondations,
CartoBio,,,,,,,,NULL,Développement de l'agriculture biologique et de HVE,"""Agriculture, pêche et agro-alimentaire""",
ClimaDIAG,,,,,,,,NULL,NULL,NULL,
CRATer,,,,,,,,NULL,NULL,Sécurité alimentaire,
Géorisques,,,,,,,,NULL,NULL,NULL,
Fiche action de la boîte à outils Agenda 2030,,,,,,,,NULL,NULL,Environnement / Actions transversales,
GeoRivière,,,,,,,,NULL,Protection des zones de captage d'eau,"Transport fluvial, Fret fluvial, ""Haltes, autres infrastructures fluviales"", Actions en matière de gestion des eaux, Politique de l'eau",
MétéEAU Nappes,,,,,,,,NULL,Protection des zones de captage d'eau,"Actions en matière de gestion des eaux, Politique de l'eau",
Nos Villes Vertes,,,,,,,,NULL,NULL,NULL,
TerriStory,,,,,,,,NULL,NULL,Environnement / Actions transversales,
Expertises-Territoires,QUARTIERS DE DEMAIN,"Une communauté pour permettre l'émergence de nouvelles pratiques sur l'aménagement urbain ....pour des quartiers plus sobres, plus résilients, plus inclusifs et plus créatifs !",,https://www.expertises-territoires.fr/jcms/pl1_5501,,,,NULL,Sobriété foncière,"Autres actions d'aménagement urbain, Opérations d'aménagement, Aménagement des territoires et habitat / services urbains, Aménagement des territoires et habitat . Politique de la ville, Habitat (Logement), Aménagement des territoires et habitat / Autres actions",
Expertises-Territoires,GESTION DU TRAIT DE CÔTE,"Les territoires littoraux sont particulièrement exposés aux effets du changement climatique, qui aggravent et s’ajoutent à la mobilité naturelle du trait de côte. 20% des côtes françaises sont en recul. De nombreux enjeux se trouvent menacés par les risques de submersion ou d’érosion : habitats, activités et infrastructures publiques... Les alertes toujours plus pressantes des scientifiques mettent particulièrement en lumière ces menaces et laissent penser que les scénarios les plus pessimistes risquent d’être dépassés. Les solutions traditionnelles de défense du trait de côte ne suffisent plus et se heurtent de surcroît à la préoccupation croissante pour limiter l’artificialisation du littoral.",,https://www.expertises-territoires.fr/jcms/pl1_8340,,,,NULL,NULL,"""Ports, autres infrastructures portuaires"", Actions en faveur du littoral",
Expertises-Territoires,APPEL À PARTENAIRES GESTION INTÉGRÉE DU LITTORAL,La démarche initiée par l’ANEL et le Cerema vise à accompagner des territoires littoraux volontaires dans une dynamique qui permette de répondre aux problématiques locales et de dégager des pistes de solutions concrètes pour accompagner dans la durée les territoires littoraux et contribuer à faire vivre l’interface terre-mer de manière vertueuse. Cet espace est libre et tout le monde peut contribuer !,,https://www.expertises-territoires.fr/jcms/pl1_8372,,,,NULL,NULL,"""Ports, autres infrastructures portuaires"", Actions en faveur du littoral",
Expertises-Territoires,CLUB CTT ARBRES EN VILLE ET CLIMAT - PROVENCE ALPES COTE D'AZUR,"Les arbres sont des éléments emblématiques de la nature en ville : ils sont de plus en plus utilisés comme vecteur pour dynamiser la stratégie de l’adaptation au changement climatique. Mais, comment leurs donner une réelle fonction dans la gestion des ilots de chaleurs urbains ? Comment les intégrer à l'espace urbain ? Comment coupler les enjeux de l’adaptation au changement climatique et de la nature en ville autour de l'arbre ? Comment optimiser ses conditions d’installation pour sa pérennité urbaine ? Discutons - en. N'oubliez pas de vous identifier en tant que membre de cette communauté pour profiter de tous les documents et outils mis à votre disposition sur cette plateforme",,https://www.expertises-territoires.fr/jcms/pl1_49099,,,,NULL,NULL,Espaces verts urbains,
Expertises-Territoires,OBSERVATOIRE DES SOLUTIONS D'ACCESSIBILITÉ,"L'Observatoire des solutions d'accessibilité est une plateforme permettant d'accéder à des ressources sur l'accessibilité du cadre bâti et de l'ensemble de la chaîne de déplacement, il fait la part belle aux retours d'expériences par les porteurs de projet de mise en œuvre de solutions contextualisées. Ces retours d'expériences peuvent faire l'objet d'analyses et d'expertises pour évaluer la réplicabilité de la solution et la qualité de la réponse aux usages attendus.",,https://www.expertises-territoires.fr/jcms/pl1_76760,,,,NULL,NULL,"Autres actions d'aménagement urbain, Opérations d'aménagement, Aménagement des territoires et habitat / services urbains, Habitat (Logement), Aménagement des territoires et habitat / Autres actions",
Expertises-Territoires,PORTAIL CARTOGRAPHIQUE DES ENERGIES RENOUVELABLES,"Cette communauté est un espace d'échanges et de partage de ressources autour du Portail cartographique des Energies Renouvelables pour en améliorer la diffusion et en faciliter l'appropriation sur les territoires. Elle s'adresse à tous les utilisateurs du portail cartographique des EnR et particulier les collectivités qui sont chargées d'élaborer les ""zones d'accélération"", mais aussi les services déconcentrés, les bureaux d'études, ... Chacun peut y poser ses questions, trouver des informations utiles, mettre en avant son expérience et découvrir celle des autres utilisateurs.",,https://www.expertises-territoires.fr/jcms/pl1_141463,,,,NULL,Electricité renouvelable,"Energie éolienne, Energie hydraulique, Energie photovoltaïque",
Expertises-Territoires,ENVIRONNEMENT SANTÉ,Découvrez la communauté Environnement Santé,,https://www.expertises-territoires.fr/jcms/pl1_6950,,,,NULL,NULL,Prévention et éducation pour la santé,
Expertises-Territoires,COMMUNAUTÉ VIABILITÉ HIVERNALE,"Cette communauté a vocation à permettre les échanges entre l'ensemble des acteurs de la viabilité hivernale : gestionnaires (DIR, CD, collectivités, SCA, aéroports...) , réseau scientifique et technique, entreprises... Y sont rattachés des groupes privés dédiés aux clubs CTT VH avec un accès réservé aux collectivités et DIR",,https://www.expertises-territoires.fr/jcms/pl1_17493,,,,NULL,NULL,Viabilité hivernale et aléas climatiques,
